time,MEDIA_ID,delta,FPOGX
812.0,,0.00244,0.32049
812.9,,0.12442,0.61543
813.9,,0.01117,0.89413
814.9,,0.0356,0.1428
816.0,,0.00279,0.2531
816.9,,0.00291,0.65349
817.9,,0.00681,0.26948
819.0,,0.0289,0.31676
819.9,,0.00343,0.25618
820.9,,0.00162,0.21616
821.9,,0.0284,0.46821
823.0,,0.00129,0.77597
823.9,,0.00093,0.2707
824.9,,0.00344,0.19067
825.9,,0.00341,0.42703
826.9,,0.05185,0.13789
827.9,,0.00065,0.53752
828.9,,0.00247,0.69151
830.0,,0.00086,0.8645
830.9,,0.00708,0.76736
832.0,,0.0024,0.1266
832.9,,0.01012,0.54933
833.9,,0.00205,0.17374
834.9,,0.03775,0.48565
835.9,,0.00137,0.6635
837.0,,0.00387,0.50793
837.9,,0.01645,0.82531
838.9,,0.01713,0.39132
839.9,,0.00426,0.68774
840.9,,0.13908,0.18696
841.9,,0.36003,0.68046
842.9,,0.56507,0.67658
844.0,,0.06145,0.58075
844.9,,0.00083,0.39861
845.9,,0.156,0.42675
846.9,,0.15921,0.2018
848.0,,0.00153,0.22027
848.9,,0.00169,0.33164
849.9,,0.02731,0.538
850.9,,0.00103,0.70597
851.9,,0.04072,0.10308
852.9,,0.02298,0.35295
853.9,,0.09346,0.63179
855.0,,0.01531,0.2262
855.9,,0.30229,0.39431
856.9,,0.0349,0.72584
857.9,,0.00573,0.26232
858.9,,0.00273,0.41618
859.9,,0.01418,0.393
860.9,,0.19461,0.58234
861.9,,0.01826,0.8309
862.9,,0.01225,0.35504
863.9,,0.00165,0.56703
864.9,,0.00125,0.76861
866.0,,0.1648,0.28278
866.9,,0.06444,0.38515
867.9,,0.00689,0.54354
868.9,,0.00688,0.62469
869.9,,0.04098,0.72616
870.9,,0.00418,0.31164
871.9,,0.01959,0.62428
873.0,,0.00161,0.80465
873.9,,0.50315,0.1903
874.9,,0.05061,0.45862
875.9,,0.15063,0.75121
876.9,,0.01736,0.37995
877.9,,0.0016,0.56615
878.9,,0.03387,0.54159
880.0,,0.15261,0.33477
880.9,,0.02379,0.49947
881.9,,0.00081,0.52358
882.9,,0.00048,0.64053
883.9,,0.00141,0.71341
884.9,,0.00166,0.27063
885.9,,0.00608,0.76793
886.9,,0.00267,0.24811
887.9,,0.00144,0.55794
888.9,,0.00605,0.73347
889.9,,0.16066,0.24222
891.0,,0.013,0.56272
891.9,,0.04277,0.81222
892.9,,0.0037,0.34046
893.9,,0.00599,0.74137
894.9,,0.00227,0.29294
896.0,,0.00043,0.75936
896.9,,0.00275,0.69203
897.9,,0.00399,0.2971
898.9,,0.04103,0.75642
899.9,,0.00777,0.64314
900.9,,0.00484,0.58617
901.9,,0.1036,0.7891
902.9,,0.02062,0.53898
903.9,,0.05949,0.76428
905.0,,0.13664,0.268
905.9,,0.03673,0.80966
906.9,,0.05418,0.27078
907.9,,0.026,0.57401
909.0,,0.00491,0.29281
909.9,,0.00567,0.16659
910.9,,0.00618,0.67803
912.0,,0.01344,0.76334
912.9,,0.02407,0.72841
913.9,,0.04772,0.66369
914.9,,0.18207,0.42028
916.0,,0.00319,0.18769
916.9,,0.02622,0.57276
917.9,,0.00394,0.18296
918.9,,0.00543,0.50942
919.9,,0.00036,0.38241
920.9,,0.02811,0.19647
921.9,,0.00334,0.20252
923.0,,0.04111,0.24228
923.9,,0.02644,0.35105
924.9,,0.12835,0.58215
925.9,,0.14212,0.39578
927.0,,0.00455,0.37711
928.0,,0.51112,0.22444
928.9,,0.00771,0.3758
930.0,,0.00699,0.47089
930.9,,0.00945,0.55332
931.9,,0.03249,0.57809
932.9,,0.27379,0.59997
934.0,,0.44813,0.58876
